设备:/127.0.0.1:62721-家庭-血氧仪-血氧饱和度:66    时间:Tue May 29 09:02:34 CST 2018
设备:/127.0.0.1:62721-家庭-血氧仪-血氧饱和度:655   时间:Tue May 29 09:02:43 CST 2018
设备:/127.0.0.1:62721-家庭-血氧仪-血氧饱和度:45    时间:Tue May 29 09:03:35 CST 2018
设备:/192.168.1.100:42202-家庭-血氧浓度: 20   时间:Tue Jun 19 21:28:31 CST 2018
设备:/192.168.1.100:42202-社区-血氧浓度: 100   时间:Tue Jun 19 21:29:17 CST 2018
设备:/192.168.1.100:42202-社区-PM2.5: 25   时间:Tue Jun 19 21:29:17 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:29:38 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:29:38 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:31:34 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:31:34 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:32:05 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:32:05 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:32:27 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:32:41 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:32:41 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:32:50 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:32:50 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:34:27 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:34:27 CST 2018
设备:/192.168.1.100:42202-家庭-血氧浓度: 20   时间:Tue Jun 19 21:34:29 CST 2018
设备:/192.168.1.100:42202-社区-血氧浓度: 100   时间:Tue Jun 19 21:34:32 CST 2018
设备:/192.168.1.100:42202-社区-PM2.5: 25   时间:Tue Jun 19 21:34:32 CST 2018
设备:/192.168.1.100:42202-社区-血氧浓度: 100   时间:Tue Jun 19 21:34:34 CST 2018
设备:/192.168.1.100:42202-社区-PM2.5: 25   时间:Tue Jun 19 21:34:34 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:34:37 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:34:37 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:34:40 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:34:40 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:34:41 CST 2018
设备:/192.168.1.100:42202-医院-温度: 30   时间:Tue Jun 19 21:34:41 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 150   时间:Tue Jun 19 21:34:43 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:34:43 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 15   时间:Tue Jun 19 21:36:04 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:36:04 CST 2018
设备:/192.168.1.100:42202-社区-血氧浓度: 100   时间:Tue Jun 19 21:36:31 CST 2018
设备:/192.168.1.100:42202-社区-PM2.5: 25   时间:Tue Jun 19 21:36:31 CST 2018
设备:/192.168.1.100:42202-医院-PM2.5: 15   时间:Tue Jun 19 21:36:36 CST 2018
设备:/192.168.1.100:42202-医院-血氧浓度: 36   时间:Tue Jun 19 21:36:36 CST 2018
设备:/192.168.1.100:42272-医院-温度: 20   时间:Tue Jun 19 21:39:04 CST 2018
设备:/192.168.1.100:42272-医院-血氧浓度: 36   时间:Tue Jun 19 21:39:04 CST 2018
设备:/192.168.1.100:42272-医院-PM2.5: 150   时间:Tue Jun 19 21:39:04 CST 2018
设备:/192.168.1.100:42272-家庭-血氧浓度: 12   时间:Tue Jun 19 21:39:13 CST 2018
设备:/192.168.1.100:42272-社区-血氧浓度: 36   时间:Tue Jun 19 21:39:20 CST 2018
设备:/192.168.1.100:42272-社区-PM2.5: 69   时间:Tue Jun 19 21:39:20 CST 2018
设备:/192.168.1.100:42272-社区-血氧浓度: 36   时间:Tue Jun 19 21:40:24 CST 2018
设备:/192.168.1.100:42272-社区-PM2.5: 69   时间:Tue Jun 19 21:40:24 CST 2018
设备:/10.63.86.54:58656-家庭-血氧浓度: 10   时间:Wed Jun 20 08:22:00 CST 2018
设备:/10.63.86.54:58656-社区-血氧浓度: 150   时间:Wed Jun 20 08:22:15 CST 2018
设备:/10.63.86.54:58656-社区-PM2.5: 15   时间:Wed Jun 20 08:22:15 CST 2018
设备:/10.63.86.54:58656-社区-血氧浓度: 150   时间:Wed Jun 20 08:22:23 CST 2018
设备:/10.63.86.54:58656-社区-PM2.5: 150   时间:Wed Jun 20 08:22:23 CST 2018
